=counta( r[2]c:r_c )	=sum( r[2]c:r_c )	=counta( r[2]c:r_c )		=sum( r[2]c:r_c )	= 100 * rc5 / rc2
Constituency name	Electorate	Candidate	Party	Votes	County	Region

Babergh	70628	Leave	Leave (EU)	29933	Suffolk	East Anglia
		Remain	Remain (EU)	25309

Basildon	132771	Leave	Leave (EU)	67251	Essex	Essex
		Remain	Remain (EU)	30748

Bedford	119530	Leave	Leave (EU)	44569	Bedfordshire	East Anglia
		Remain	Remain (EU)	41497

Braintree	112562	Leave	Leave (EU)	52713	Essex	Essex
		Remain	Remain (EU)	33523

Breckland	98989	Leave	Leave (EU)	47235	Norfolk	East Anglia
		Remain	Remain (EU)	26313

Brentwood	58777	Leave	Leave (EU)	27627	Essex	Essex
		Remain	Remain (EU)	19077

Broadland	99254	Leave	Leave (EU)	42268	Norfolk	East Anglia
		Remain	Remain (EU)	35469

Broxbourne	68997	Leave	Leave (EU)	33706	Hertfordshire	Essex
		Remain	Remain (EU)	17166

Cambridge	80108	Remain	Remain (EU)	42682	Cambridgeshire	East Anglia
		Leave	Leave (EU)	15117

Castle Point	68860	Leave	Leave (EU)	37691	Essex	Essex
		Remain	Remain (EU)	14154

Central Bedfordshire	204004	Leave	Leave (EU)	89134	Bedfordshire	East Anglia
		Remain	Remain (EU)	69670

Chelmsford	129971	Leave	Leave (EU)	53249	Essex	Essex
		Remain	Remain (EU)	47545

Colchester	127520	Leave	Leave (EU)	51305	Essex	Essex
		Remain	Remain (EU)	44414

Dacorum	108965	Leave	Leave (EU)	43702	Hertfordshire	Essex
		Remain	Remain (EU)	42542

East Cambridgeshire	62435	Leave	Leave (EU)	24487	Cambridgeshire	East Anglia
		Remain	Remain (EU)	23599

East Hertfordshire	106260	Leave	Leave (EU)	42994	Hertfordshire	Essex
		Remain	Remain (EU)	42372

Epping Forest	100016	Leave	Leave (EU)	48176	Essex	Essex
		Remain	Remain (EU)	28676

Fenland	71447	Leave	Leave (EU)	37571	Cambridgeshire	East Anglia
		Remain	Remain (EU)	15055

Forest Heath	38527	Leave	Leave (EU)	18160	Suffolk	East Anglia
		Remain	Remain (EU)	9791

Great Yarmouth	72634	Leave	Leave (EU)	35844	Norfolk	East Anglia
		Remain	Remain (EU)	14284

Harlow	59124	Leave	Leave (EU)	29602	Essex	Essex
		Remain	Remain (EU)	13867

Hertsmere	73295	Leave	Leave (EU)	28532	Hertfordshire	Essex
		Remain	Remain (EU)	27593

Huntingdonshire	128486	Leave	Leave (EU)	54198	Cambridgeshire	East Anglia
		Remain	Remain (EU)	45729

Ipswich	91574	Leave	Leave (EU)	38655	Suffolk	East Anglia
		Remain	Remain (EU)	27698

King's Lynn and West Norfolk	113884	Leave	Leave (EU)	56493	Norfolk	East Anglia
		Remain	Remain (EU)	28587

Luton	127612	Leave	Leave (EU)	47773	Bedfordshire	East Anglia
		Remain	Remain (EU)	36708

Maldon	49073	Leave	Leave (EU)	24302	Essex	Essex
		Remain	Remain (EU)	14529

