=counta( r[2]c:r_c )	=sum( r[2]c:r_c )	=counta( r[2]c:r_c )		=sum( r[2]c:r_c )	= 100 * rc5 / rc2
Constituency name	Electorate	Candidate	Party	Votes	County	Region

Avon	665484	Yes	Yes (EEC)	310145	Bristol Area	West
		No	No (EEC)	147024

Bedfordshire	326566	Yes	Yes (EEC)	154338	Bedfordshire	East Anglia
		No	No (EEC)	67969

Berkshire	443472	Yes	Yes (EEC)	215184	Berkshire	South
		No	No (EEC)	81221

Buckinghamshire	346348	Yes	Yes (EEC)	180512	Buckinghamshire	Essex
		No	No (EEC)	62578

Cambridgeshire	375753	Yes	Yes (EEC)	177789	Cambridgeshire	East Anglia
		No	No (EEC)	62143

Cornwall	298706	Yes	Yes (EEC)	137828	Cornwall	South West
		No	No (EEC)	63478

Devon	676378	Yes	Yes (EEC)	334244	Devon	South West
		No	No (EEC)	129179

Dorset	429752	Yes	Yes (EEC)	217432	Dorset	South West
		No	No (EEC)	78239

East Sussex	511437	Yes	Yes (EEC)	249780	East Sussex	South East
		No	No (EEC)	86198

Essex	1010317	Yes	Yes (EEC)	463505	Essex	Essex
		No	No (EEC)	222085

Gloucestershire	347218	Yes	Yes (EEC)	170931	Gloucestershire	West
		No	No (EEC)	67465

Greater London	5250343	Yes	Yes (EEC)	2201031	City of Westminster	North London
		No	No (EEC)	1100185

Hampshire	975440	Yes	Yes (EEC)	484302	Hampshire	South
		No	No (EEC)	197761

Hertfordshire	662177	Yes	Yes (EEC)	326943	Hertfordshire	Essex
		No	No (EEC)	137266

Isle of Wight	86381	Yes	Yes (EEC)	40837	Hampshire	South
		No	No (EEC)	17375

Isles of Scilly	1447	Yes	Yes (EEC)	802	Cornwall	South West
		No	No (EEC)	275

Kent	1035313	Yes	Yes (EEC)	493407	Kent	South East
		No	No (EEC)	207358

Norfolk	485229	Yes	Yes (EEC)	218883	Norfolk	East Anglia
		No	No (EEC)	93198

Oxfordshire	355977	Yes	Yes (EEC)	179938	Oxfordshire	West
		No	No (EEC)	64643

Somerset	293191	Yes	Yes (EEC)	138830	Somerset	South West
		No	No (EEC)	60631

Suffolk	397626	Yes	Yes (EEC)	187484	Suffolk	East Anglia
		No	No (EEC)	72251

Surrey	720440	Yes	Yes (EEC)	386369	Surrey	South
		No	No (EEC)	120576

West Sussex	464396	Yes	Yes (EEC)	242890	West Sussex	South East
		No	No (EEC)	75928

Wiltshire	344833	Yes	Yes (EEC)	172791	Wiltshire	West
		No	No (EEC)	68113

Derbyshire	653005	Yes	Yes (EEC)	286614	Derbyshire	East Midlands
		No	No (EEC)	131452

Hereford and Worcester	419866	Yes	Yes (EEC)	203128	Hereford and Worcestershire	Severn
		No	No (EEC)	75779

Leicestershire	590780	Yes	Yes (EEC)	291500	Leicestershire	East Midlands
		No	No (EEC)	106004

Lincolnshire	370518	Yes	Yes (EEC)	180603	Lincolnshire	Humberside
		No	No (EEC)	61011

Northamptonshire	351653	Yes	Yes (EEC)	162803	Northamptonshire	East Anglia
